session,original_filename,subject_id,trial_id
1,E1P1S1T1,S01,T01
1,E1P1S1T2,S01,T02
1,E1P1S1T3,S01,T03
1,E1P1S1T4,S01,T04
1,E1P1S2T1,S02,T01
1,E1P1S2T2,S02,T02
1,E1P1S2T3,S02,T03
1,E1P1S3T1,S03,T01
1,E1P1S3T2,S03,T02
1,E1P1S3T3,S03,T03
1,E1P1S4T1,S04,T01
1,E1P1S4T2,S04,T02
1,E1P1S4T3,S04,T03
1,E1P1S4T4,S04,T04
1,E1P1S4T5,S04,T05
1,E1P1S5T1,S05,T01
1,E1P1S5T2,S05,T02
1,E1P1S5T3,S05,T03
1,E1P1S5T4,S05,T04
1,E1P1S5T5,S05,T05
1,E1P1S6T1,S06,T01
1,E1P1S6T2,S06,T02
1,E1P1S6T3,S06,T03
1,E1P1S6T4,S06,T04
1,E1P1S7T1,S07,T01
1,E1P1S7T2,S07,T02
1,E1P1S7T3,S07,T03
1,E1P1S7T4,S07,T04
1,E1P1S8T1,S08,T01
1,E1P1S8T2,S08,T02
1,E1P1S8T3,S08,T03
1,E1P1S8T4,S08,T04
1,E1P1S8T5,S08,T05
1,E1P1S9T1,S09,T01
1,E1P1S9T2,S09,T02
1,E1P1S9T3,S09,T03
1,E1P1S9T4,S09,T04
1,E1P1S10T1,S10,T01
1,E1P1S10T2,S10,T02
1,E1P1S10T3,S10,T03
1,E1P1S10T4,S10,T04
1,E1P1S11T1,S11,T01
1,E1P1S11T2,S11,T02
1,E1P1S11T3,S11,T03
1,E1P1S11T4,S11,T04
1,E1P1S11T5,S11,T05
1,E1P1S12T1,S12,T01
1,E1P1S12T2,S12,T02
1,E1P1S12T3,S12,T03
1,E1P1S12T4,S12,T04
1,E1P1S13T1,S13,T01
1,E1P1S13T2,S13,T02
1,E1P1S13T3,S13,T03
1,E1P1S13T4,S13,T04
2,S1T1,S14,T01
2,S1T2,S14,T02
2,S1T3,S14,T03
2,S2T1,S15,T01
2,S2T2,S15,T02
2,S2T3,S15,T03
2,S3T1,S16,T01
2,S3T2,S16,T02
2,S3T3,S16,T03
2,S4T1,S17,T01
2,S4T2,S17,T02
2,S4T3,S17,T03
2,S5T1,S18,T01
2,S5T2,S18,T02
2,S5T3,S18,T03
2,S6T1,S19,T01
2,S6T2,S19,T02
2,S6T3,S19,T03
2,S7T1,S20,T01
2,S7T2,S20,T02
2,S7T3,S20,T03
2,S8T1,S21,T01
2,S8T2,S21,T02
2,S8T3,S21,T03
2,S9T1,S22,T01
2,S9T2,S22,T02
2,S9T3,S22,T03
2,S10T1,S23,T01
2,S10T2,S23,T02
2,S10T3,S23,T03
2,S11T1,S24,T01
2,S11T2,S24,T02
2,S11T3,S24,T03
2,S12T1,S25,T01
2,S12T2,S25,T02
2,S12T3,S25,T03
